STATE_NAME,MICRO,SMALL,MEDIUM
ANDAMAN AND NICOBAR ISLANDS,2884,111,6
ANDHRA PRADESH,115320,5799,422
ARUNACHAL PRADESH,1201,53,6
ASSAM,41051,2182,200
BIHAR,167835,3908,245
CHANDIGARH,9010,687,76
CHHATTISGARH,58905,2726,257
DADAR AND NAGAR HAVELI,2511,98,3
DAMAN AND DIU,892,35,2
DELHI,106599,10080,1399
GOA,8963,428,40
GUJARAT,283123,12067,1164
HARYANA,147956,7231,582
HIMACHAL PRADESH,21730,613,26
JAMMU AND KASHMIR,47434,1145,62
JHARKHAND,74753,2357,170
KARNATAKA,248728,10468,987
KERALA,98110,5305,397
LADAKH,1652,32,0
LAKSHADWEEP,114,0,0
MADHYA PRADESH,194520,6634,397
MAHARASHTRA,962520,25367,2797
MANIPUR,10051,175,9
MEGHALAYA,1286,89,11
MIZORAM,2002,52,8
NAGALAND,1757,23,2
ODISHA,87502,3798,281
PUDUCHERRY,6702,266,22
PUNJAB,141714,5021,337
RAJASTHAN,328406,8952,616
SIKKIM,1073,39,8
TAMIL NADU,431053,13954,1050
TELANGANA,150812,6783,713
TRIPURA,3556,163,9
UTTAR PRADESH,326045,11567,914
UTTARAKHAND,39722,1237,79
WEST BENGAL,111856,7657,772
